No.,在籍状況(入社3年以内),世代,性別,信頼係数,思索型：内閉性,思索型：客観性,活動型：身体性,活動型：気分性,努力型：持続性,努力型：規則性,積極型：競争性,積極型：自尊心,自制型：慎重性,自制型：弱気さ,日常周辺事型,客観・科学型,社会・経済型,心理・情緒型,審美・芸術型,積極性,協調性,責任感,自己信頼性,指導性,共感性,感情安定性,従順性,自主性,ﾓﾗﾄﾘｱﾑ傾向,達成欲求,親和欲求,求知欲求,顕示欲求,秩序欲求,物質的欲望,危機耐性,自律欲求,支配欲求,勤労意欲,自己：積極実行,自己：意欲熱意,自己：根気強さ,自己：責任感,自己：決断勇気,自己：指導力,自己：リーダー,自己：自己信頼,自己：調整力,自己：折衝力,自己：独創斬新,自己：現状分析,自己：洞察力,自己：企画立案,自己：専門知識,自己：情報活用,定着・安定,判定結果,ﾊﾟｰｿﾅﾘﾃｨｽｹｯﾁ,一般的,精神力,足　腰,集中力,標準化,適性の幅,対人ストレス耐性,目標ストレス耐性,繁忙ストレス耐性,拘束ストレス耐性,総合ストレス耐性,適合度
1,在職,２０〜２５才,女,100,71,67,23,24,63,55,50,37,85,74,40,57,46,40,58,33,26,66,47,34,25,65,50,54,59,52,33,30,38,68,54,50,59,34,27,100,100,80,80,80,20,20,80,20,40,60,100,80,60,40,100,12,Ｃ,過信せず、見通しがつくまで動かない慎重さがこの人の本質である。思いやりがあり、自分をおさえる良さがあるが、問題がおこると自罰的傾向をとり、くよくよと取り越し苦労する面も。気弱で引っ込み思案の人である。自分に自信がなく、快活な面がみられない。神経が細かく過敏な性格で、人前では緊張してかたくなりがちである。余裕がなくなると、多少不安定な行動をとる可能性もでる。一般的にはまじめで一途な人が多いが、柔軟性に欠けおおらかさがない。,56,34,30,72,43,39,29,48,47,53,55,0
2,在職,２０〜２５才,女,70,48,42,46,59,36,44,35,61,42,42,40,53,34,49,58,49,52,36,44,47,55,41,52,42,44,45,48,51,52,35,50,34,46,49,47,60,80,40,80,40,60,80,40,40,40,40,40,20,60,20,20,-13,Ｅ,感情の表現は豊かであり、喜怒哀楽が激しいほうである。よくいえば、失敗したりいやなことがあっても、気分転換が早く回復力があるといえる。ぎすぎすした人間関係に陥るのを避けるためか、むき出しの競争心はなく、人には寛容で協調していたいと望んでいる。しかし、それは表面上にすぎず、本来は自分を評価してもらうことで自尊心を満たそうとする。プライドを傷つけられないように注意をしているためか、おだてに弱く、褒められると調子に乗ってしまう。また、気分に周期性があり、カンの鋭さや行動力などは、日によって左右される。元気に張り切っていたかと思えば、一人静かにちんまりしている時もある。そして、いろいろな事に関心がむくせいか、何かに夢中になって熱中していたかと思えば、あきてしまったり、自分自身で納得がいったりすると簡単に放り出してしまう。持ち味の瞬発力をいかすには、長期的な計画よりも短期的なほうが無難といえる。甘えんぼうであり、皆から親しまれるが、未熟なパーソナリティーだといえる。,31,22,26,23,33,21,53,43,42,50,43,0
3,在職,２０〜２５才,女,64,38,38,51,47,59,51,50,50,57,51,43,37,30,58,78,55,65,51,50,59,59,45,52,50,47,52,44,45,63,41,54,53,42,56,64,80,80,100,80,60,100,80,80,80,80,80,60,60,60,20,80,3,Ｃ,単調な作業であっても、飽きずに長時間こなせる持続性がある。努力と忍耐をもって、目標に向かっていくといった傾向がある。一事に没頭する徹底性がみられ、人からはそれがしつこいと思われることもあるほどで、夢中になると他のことには目がいかなくなるところがある。几帳面だが、ガンコで堅物との印象もあり、社会の秩序を乱す行動は慎み、通俗的な道徳観の持ち主で、物事の判断もそれに沿ったものになる。とはいえ、規則やしきたりにこだわりすぎるというわけではなく、いつも普通の人でありたいと思う願望が常識的な行動をとらせている。また、状況を鵜呑みにせず、先が見えるまでアクションを起こさないという慎重さも本質のひとつである。感情を抑え、落ち着いた雰囲気で信頼される。しかし、問題が起こったりすると、小さなミスでもいつまでも気にかけたり、他の人はとっくに忘れてしまうような失敗を、いつまでも忘れられず悩んだりするところもある。できることだけを小さくまとめるため、思いきった積極的な行動はしない。,57,45,50,46,57,50,58,55,53,50,50,0
4,退職,２０〜２５才,男,54,58,47,54,50,48,58,50,45,65,74,50,60,57,46,36,43,35,46,14,44,25,27,52,50,51,55,41,62,43,50,50,27,42,49,52,80,80,80,80,80,100,80,40,60,60,60,100,80,80,60,40,-3,Ｄ,過信せず、見通しがつくまで動かない慎重さがこの人の本質である。思いやりがあり、自分をおさえる良さがあるが、問題がおこると自罰的傾向をとり、くよくよと取り越し苦労する面も。気弱で引っ込み思案の人である。自分に自信がなく、快活な面がみられない。神経が細かく過敏な性格で、人前では緊張してかたくなりがちである。余裕がなくなると、多少不安定な行動をとる可能性もでる。一般的にはまじめで一途な人が多いが、柔軟性に欠けおおらかさがない。,51,33,37,49,39,36,39,40,38,53,33,0
5,在職,２０〜２５才,男,52,54,63,49,38,48,55,55,37,50,42,29,57,30,52,62,57,52,55,76,59,47,74,52,44,50,49,51,57,65,47,50,68,42,49,54,60,20,40,40,40,60,60,40,60,60,40,60,40,40,100,40,10,Ｃ,物事の把握のしかたは常に客観的であり、自分自身について深く内省している。内面ではいろいろな世界を繰りひろげており、思慮的な言葉が自然にでてきたりする。新しい環境には、慣れるまで時間がかかるのだが、馴染もうとする順応性はある。交友関係においても同様のことがいえ、心を許せる友人とは深い付き合いを形成している。社会性をそなえていて、ときとして非常にユニークな発想をし、豊かな内面があることを連想させる。また、生活は地道に堅く送っていくというのを信条としている。何事に対してもマメなほうで、コツコツと丹念に取り組もうとする。しかし、一時に没頭しすぎて頑固なまでに執着するようなところがある。派手さはなく目立つということはあまりないのだが、社会通念、規則やきまりを大切にし、几帳面で安定感がある。それは、柔軟性に欠けているともいえるが、大きな失敗をしないということの評価はできる。どちらかというと、自分らしさを主張するより、社会が自分をどう見ているかのほうを気にしたりする。,49,53,51,56,48,62,46,62,57,56,66,0
6,退職,２０〜２５才,女,100,89,59,16,20,82,44,59,18,90,83,43,47,34,58,58,36,22,76,31,50,10,53,26,82,62,68,25,45,48,64,54,61,70,45,33,100,100,100,100,20,20,20,100,100,20,100,20,100,100,20,20,16,Ｃ,過信せず、見通しがつくまで動かない慎重さが本質といえる。思いやりがあり、自分を抑える良さもあるが、問題が起こると自罰的傾向をとり、クヨクヨと取り越し苦労をする傾向がある。どちらかといえば、気弱で引っ込み思案の人である。神経が細かく過敏な性格で、人前にでると緊張し堅くなり、余裕がなくなると多少不安定な行動をとる可能性もある。できるだけ目立たず、隅のほうにいたいという感じで、自信をもった行動力が不足している。一般的には真面目で、一途な人に多くみられるが、ときに、その真面目さが、柔軟性に欠けていると人から見られる。そして、他人との交友関係なども進んでもつほうではなく、関心分野以外のことになると、かかわらないように殻に閉じこもろうとする。よくいえば、自分の内面的な世界の中で審美的な生き方をしているともとれる。ものの見方は客観的で的確に把握しようとする。人情に溺れることなく一歩距離をおいて接するため、冷たい印象を与えることもあるが自分自身については深く内省している。,51,42,42,61,36,50,21,53,54,42,52,0
7,退職,２０〜２５才,女,42,58,67,54,63,48,55,59,53,73,46,36,43,30,65,62,55,56,46,63,53,50,57,50,59,62,68,51,60,65,58,68,57,63,49,57,100,100,80,100,100,80,80,60,60,40,40,20,40,100,60,40,-5,Ｂ,あくまでも先が見えるまで動かず、容易な決断はしないような慎重さが身上といえる。自分の感情を抑え、人にもやさしいといえるが、問題が起こると自罰的になったり、過去の失敗をいつまでも悩んだりする傾向がみられる。また、何をやらせても着実で手堅い人である。慎重すぎるせいか、発想は着実であり非常にユニークなアイデアや意見をもっているが、大胆な行動などはあまりとらないため、できることだけを小さくまとめて控えめに表現することがある。遠慮がちであり、もう少し視野を広げ、図太さなどがそなわると良い特性が引き出せる。また、どちらかといえば、たくさんの人が集まるところでは、自分から積極的に話しかける社交家ではないが、社会へ関心はあり、情報を収集するアンテナはしっかりと張りめぐらせている。物事を客観的にとらえようとする傾向がつよく、キチンと把握しようとする姿勢がみられる。あまり人情的にのめりこまないため冷たい印象を与えがちだが、豊かな内面性の持ち主で、自分自身を深く内省している。,52,74,70,68,49,67,46,57,52,45,50,0
8,退職,２０〜２５才,女,41,68,55,46,33,36,44,44,37,61,71,52,57,38,43,41,36,40,46,38,41,25,41,43,50,57,55,18,51,48,50,54,27,46,41,47,80,80,60,100,60,100,60,60,60,80,80,80,60,80,40,100,-6,Ｅ,過信せず、見通しがつくまで動かない慎重さが本質といえる。思いやりがあり、自分を抑える良さもあるが、問題が起こると自罰的傾向をとり、クヨクヨと取り越し苦労をする傾向がある。どちらかといえば、気弱で引っ込み思案の人である。神経が細かく過敏な性格で、人前にでると緊張し堅くなり、余裕がなくなると多少不安定な行動をとる可能性もある。できるだけ目立たず、隅のほうにいたいという感じで、自信をもった行動力が不足している。一般的には真面目で、一途な人に多くみられるが、ときに、その真面目さが、柔軟性に欠けていると人から見られる。そして、他人との交友関係なども進んでもつほうではなく、関心分野以外のことになると、かかわらないように殻に閉じこもろうとする。よくいえば、自分の内面的な世界の中で審美的な生き方をしているともとれる。ものの見方は客観的で的確に把握しようとする。人情に溺れることなく一歩距離をおいて接するため、冷たい印象を与えることもあるが自分自身については深く内省している。,34,22,29,43,30,31,32,47,34,53,43,0
9,在職,２０〜２５才,男,53,48,38,51,59,42,28,50,50,65,57,47,50,50,61,46,46,40,42,41,50,52,36,32,57,51,52,48,54,50,31,57,48,46,49,44,80,100,60,60,100,100,80,80,100,100,80,100,100,40,20,100,-5,Ｄ,何事も慎重に行動する人で、周囲に対する思いやりがあり、自分の感情を抑えるよさがある。ただトラブルが起こると、責任を一人で感じて困惑し、いつまでもクヨクヨとする。失敗に対して、必要以上の不安があるためか、できることだけを小さくまとめてしまう傾向もある。控えめな性格で、思い切った行動に移れないことも多い。感情をあまり表に出さず、言動が積極的でないなど、遠慮がちであるが病的な暗さはなく慎重さは評価できる。しかし、本音がわかりずらいため、他人につかみどころがないという印象を与えてしまう。また、気分屋であり、思い付きは早いが、行動に移すに際してはテキパキと身軽に動きまわるというほどではなく、やや尻の重たさがみられる。気立てはよくお人好しだが、自分から物事を見つけて実行するといった積極性にやや欠けていて、物事を地道に長続きさせようとする心掛けはあまりない。また、調子に乗れば何事も早いが、気分にムラがあり、元気だったと思えば、ちんまりと落ち込んでいるようなときもある。,36,34,45,29,35,29,50,46,44,46,43,0
10,在職,２０〜２５才,男,80,71,63,20,59,33,55,41,58,61,42,40,57,46,55,41,44,48,32,63,44,63,57,55,30,59,43,73,54,36,52,50,44,35,45,27,20,100,20,20,60,80,60,20,60,60,60,60,60,80,40,60,-3,Ｄ,自分の世界を大事にして、外界のことに興味がうすい。他人と接触することが面倒であり、交友関係なども進んで持とうとはしない。審美的な生きかたをしていて、自分の信じる価値観のなかで生活している。交友関係は狭いが、つきあいはじめれば深くなる。自分もふくめて環境をあるがままに客観的にとらえようとする傾向がつよく、ものごとをキチンと把握しようとする。人情的にのめりこまず、冷たい印象を他人に与えることがあるが、自分自身について深く内省しているといえ、豊かな内面性をもつ。,51,35,37,45,50,31,50,42,42,57,49,0
11,退職,２０〜２５才,男,100,35,76,71,50,75,44,59,53,47,42,40,47,30,40,83,71,70,42,67,66,81,53,29,59,57,71,65,60,68,44,77,72,56,64,78,100,100,100,80,100,100,100,60,100,100,80,100,60,100,20,60,4,Ｂ,社会性をそなえていて他人への配慮もみられる。発想は着実でありながら、非常にセンスのよい意見をもっている。また、物事をあるがままに客観的にとらえ、キチンと把握することができる。非常に豊かな内面性をもっているが、周囲の状況に左右されないところがあるため、おっとりしているとか、逆に抜け目がないなどの印象を与えることがある。そして、何事にも真面目で、丹念に取り組むことができ、節度ある常識人という感じでも見られる。努力家であり、手掛けたことはいつまでも大事にし、時間をかけてでも自分に納得のいくまでかかわっていこうとする。難題にぶつかっても、あっさりとあきらめたり放り出したりすることは少なく、とりあえず現状の方法で努力し、違うとなれば次の手段を考えて、もう一度取りかかったりする。派手さはないが安定感があるといえる。自分自身についても深く内省していて、含蓄のある言葉が自然に出たりもする。知識や経験の豊富さにもよるが、参謀的な登用をすれば、組織にも当人にも有益であろう。,46,69,71,53,48,74,61,67,63,39,57,0
12,退職,２０〜２５才,女,34,65,42,33,47,50,58,38,53,47,39,62,47,50,43,46,46,44,46,56,44,47,45,62,33,41,49,37,36,36,55,57,53,35,38,42,60,40,80,80,80,80,60,80,40,60,20,60,80,80,20,60,3,Ｄ,周囲に距離を置いて眺めようとする性格で、観察が客観的であり、私情を交えない判断方法は、あまり間違いを生じることがない。このため大きな失敗をしないことが、ひとつの取り柄といえる。どちらかというと内閉的であり、あまり自分から進んで人との接触をもとめたりはしない。もともと、自分以外の外側のことについて関心がうすいのだが、かわりに自分自身をよく理解していて豊かな内面性を持っている。また、規則やきまりを大切にし、何事においても真面目なところがある。手掛け始めたことは長続きさせる努力性が認められ、丹念に取り組んでいくような物事に向いている。生活や行動において極端な派手さはなく、あまり目立つようなことは得意としない。しかし、一つのことにあくまでも固執しすぎて、しつこさとしてうつることもある。世間のきまりや常識を大切にするあまり、融通がきかない、堅物との印象を他人に与えてしまうことがある。また、自分らしさを主張するより、社会が自分をどう見ているかのほうを気にかけている。,52,31,35,49,52,26,44,48,51,60,53,0
13,在職,２０〜２５才,女,66,48,76,51,54,48,36,74,71,47,37,47,57,38,46,53,55,56,42,70,69,47,49,29,73,38,64,44,66,68,25,61,53,78,72,61,80,100,100,80,100,80,80,60,60,60,60,60,80,80,20,60,-10,Ｃ,自分の内面的世界で独自な価値観を形成し、自分自身を深く見つめていて、発想やアイデアにはセンスのよさを感じさせる。また、たくさんの交友関係を望んでいるわけではないが、気の合う友人とは深い付き合いをしていて、他人など周囲への配慮もみられるという社会性をそなえている。そして、冷静かつ的確な判断をしようとしていて、客観的なものの見方をしている。ときに、その客観的すぎる判断や意見について、冷たいとの印象を他人に与えてしまうことがあるが、そこに他人を見下したり冷笑するような発言がない限り、おおきな障害になることはない。物事の取り組み方は、内容と結果を検討しながら、加えて他人と比較しながら、自分が評価されることが重要と考えることがある。多少、勝気な性格といえ、他人と競合するような場面では実力以上の結果を生み出すことがある。精神的には独立していて、他人に依存したり、押しつけがましさは好むところではない。思いあがった独善性もなく対外的には頼りになるが、他罰的傾向もみられる。,32,62,57,50,39,66,44,60,52,27,56,0
14,在職,２０〜２５才,男,79,48,76,61,59,39,40,55,61,50,37,36,60,46,49,58,62,48,46,63,56,43,57,36,65,54,68,41,68,68,35,50,65,59,60,64,80,100,100,100,80,60,40,100,60,100,80,80,80,100,40,60,-8,Ｃ,初対面の人に対しては、まず相手の様子をうかがい、考え方や価値観が合えばそれなりに突っ込んだ話をすることができる。社会への関心はあり、世間に対する配慮もみられる。豊かな内面性をもっていて、発想は着実でありながら、時として非常にユニークなアイデアを提示する。そして、自分も含めて、環境をあるがままに客観的にとらえる傾向が強く、物事をキチンと把握する。客観的かつ冷静な発言をするので、冷たいという印象を他人に与えてしまうことがあるが、心の中には、人情もろくてお人好しな面を持ちそなえている。また、聞き上手な面があり、情報を広くつかもうとする。そうした一方では、思いたったことは素早く実行に移すという行動力もある。行動的な部分は、あまり複雑に考えずにとりあえず実行してみるといった感じだが、これも軽薄というのではなく、それなりに状況をつかみながらのことである。環境への変化にも容易についていけ適応力もある。頭のよさがあり、慎重性をともなえばよいリーダーになりうる存在である。,27,69,56,52,37,70,41,61,55,38,54,0
15,退職,２０才未満,男,62,45,38,58,54,50,63,38,37,69,74,50,40,38,52,66,30,40,61,17,32,43,36,62,33,62,49,33,45,36,50,47,42,27,34,44,20,80,80,60,60,60,100,20,20,20,20,20,20,20,20,20,4,Ｄ,過信せず、見通しがつくまで動かない慎重さがこの人の本質である。思いやりがあり、自分をおさえる良さがあるが、問題がおこると自罰的傾向をとり、くよくよと取り越し苦労する面も。気弱で引っ込み思案の人である。自分に自信がなく、快活な面がみられない。神経が細かく過敏な性格で、人前では緊張してかたくなりがちである。余裕がなくなると、多少不安定な行動をとる可能性もでる。一般的にはまじめで一途な人が多いが、柔軟性に欠けおおらかさがない。,53,23,35,45,46,26,46,39,41,66,35,0
16,在職,２０〜２５才,女,61,48,38,54,42,63,55,50,37,65,54,56,50,38,52,53,46,44,61,44,50,43,53,52,50,50,71,41,50,60,50,54,57,39,45,61,80,80,100,80,60,80,60,60,80,80,40,60,60,80,20,40,11,Ｃ,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,56,49,56,54,57,52,48,58,54,56,52,0
17,在職,２０〜２５才,女,91,48,47,51,59,42,28,61,50,47,51,52,40,42,40,70,52,48,36,56,59,52,45,43,59,50,60,41,68,57,28,57,53,52,56,54,60,80,60,40,60,80,100,40,80,60,60,80,80,40,40,60,-8,Ｄ,積極性があり、外向的な性格の人。気長に単調な作業を続けていくことは苦手である。難問にぶつかったりすると、それまでのやり方をすぐにあきらめ、次の方法を検討し対処しようとする。わりと負けず嫌いで、ライバルがいたりすると余計に頑張ってしまう傾向がある。規則や秩序など、世間の常識や社会通念はそれほど執着しているわけではなく、発想も固定的なものばかりではない。ときに突発的であり、非常にユニークな発言をし、周囲を驚かせることがある。また、思い付きは早いが、それを実行に移すとなるとテキパキと身軽に動きまわるというほどではない。そして、気分屋なところがあり、何事に対しても、その日の気持ちや感情によっていろいろと左右される。調子に乗れば何事も迅速であり、大勢の前でも自分の意見を堂々と発言したりするなど、気力、体力ともに満ちあふれて充実しているが、気が向かないと何も行動を起こさず、一人ちんまりしていることがある。人間的には温かく人なつこい性格で、皆から親しまれる人柄である。,26,45,47,36,29,42,49,53,46,45,49,0
18,在職,２０〜２５才,女,100,45,59,58,50,63,24,59,37,57,46,40,47,26,49,87,66,79,61,59,72,70,57,50,57,51,68,65,71,65,35,68,79,52,72,75,80,100,100,80,60,100,100,40,80,60,60,60,60,60,20,60,12,Ａ,どちらかといえば、性格的な派手さはなく地味なほうだといえる。一度はじめたことは時間がかかっても途中で投げ出すことはなく、持続させていくことができる。努力を信条としていて、自分が納得いくまで取り組まないと気がすまない性分であり、何事も徹底的に追求しようとする。そして、自分なりに確たる信念や社会通念を持っているのだが、規則や秩序に対して頑固にこだわるというほどではない。発想は堅苦しいものばかりではなく、ユニークさも持ちあわせていて、独自の価値観のもとで自発的、自主的な組立をして考え判断する。また、思い立ったらすぐ実行に移すという身軽さより、物事は自分の納得がいくまでじっくりと考えてから行動する。決して自己の世界に閉じこもり暗いという印象はなく、社会性も持ちあわせている。交友関係もほどほどにあり、考え方も現実的で自分なりに社会的アンテナも張っている。自分を深く内省していて、豊かな内面性をもっている。そして、客観的なものの見方ができ、正確に状況を把握しようとする。,61,74,73,63,60,84,62,66,64,46,58,0
19,在職,２０〜２５才,男,42,71,42,33,47,30,40,65,61,38,59,50,50,26,52,53,44,35,21,41,56,25,45,39,59,57,55,37,54,46,25,43,34,56,45,44,40,80,20,60,80,60,20,20,20,20,20,80,60,40,20,20,-20,Ｅ,自己の世界を繰りひろげることに強い関心があり、周囲のことに対してあまり興味がなくなってしまうといったことがある。交友関係も自ら進んで持とうとはしない。どちらかといえば、行動的というよりも、一人静かに落ち着いているほうを好んでいるのだが、にぎやかな場所や人混みに拒絶的というほどでもない。タテマエか本音かがハッキリと区別がつかないため、少しわかりづらいという印象を他人に与えることもあるが、自己の内面のなかで美的な生き方をしているといえる。物事の判断は客観的にみようとする傾向よりも、主観的に判断することの方が多いのだが、それは、場の雰囲気や感情に左右されるような人間臭さともいえる。また、他人の言葉や行動などを気にすることがあり、自分と他人を比較してしまう傾向がある。一方では、積極的に物事に取り組み、たとえ困難に遭遇しても他に働きかけ、解決しようとする面もある。精神的には独立していて、他に依存することを嫌う。また、他人からの押し付けがましさは、あまり望んでいない。,23,26,29,30,17,29,36,45,34,43,43,0
20,在職,２０〜２５才,男,94,78,38,20,59,33,66,48,58,53,80,56,47,46,40,53,36,44,32,24,34,47,32,69,39,67,39,54,47,46,52,77,19,39,41,30,20,80,20,80,20,60,60,20,60,20,60,20,20,20,60,60,-19,Ｅ,大勢の人が集まるところでは、自分に自信がないせいか、快活に振る舞うことを苦手とする。神経が細かく過敏な性格で、人前では緊張して堅くなりがちである。また、余裕がなくなると不安定な行動をとる可能性がある。一般的には真面目で一途な人に多いが、斬新さや柔軟性に欠け、おおらかさが不足している。常に失敗に対する不安感があるため、これを克服しようとして自分の能力以上に計画をたて、慢性的なイライラ状態になっている感じである。一度、じっくりと自分と向かい合って、その原因をつきとめないとチャランポランさはなくならない。また、自分の殻にこもり、外界に興味をあまりしめさない。他人との接触も煩わしく感じ、交友関係も進んで持とうとしない傾向がある。それよりも空想にでもふけながら、自己の内面世界で遊んでいるほうが幸せを感じている。言いかえれば、美的な生き方をしているともいえるが、気負いや劣等感でギクシャクしている。物事を客観的にみようとする傾向はあるが、それさえもつかみどころがない。,36,21,32,32,34,11,45,33,28,58,29,0
21,退職,２０〜２５才,男,54,58,38,46,24,69,48,48,23,69,46,47,53,57,43,50,40,31,76,53,41,36,65,46,54,33,64,25,41,55,50,61,57,56,49,47,60,80,100,100,80,80,60,80,40,60,40,40,40,40,20,60,20,Ｃ,単調な作業であっても、飽きずに長時間こなせる持続性がある。努力と忍耐をもって、目標に向かっていくといった傾向がある。一事に没頭する徹底性がみられ、人からはそれがしつこいと思われることもあるほどで、夢中になると他のことには目がいかなくなるところがある。几帳面だが、ガンコで堅物との印象もあり、社会の秩序を乱す行動は慎み、通俗的な道徳観の持ち主で、物事の判断もそれに沿ったものになる。とはいえ、規則やしきたりにこだわりすぎるというわけではなく、いつも普通の人でありたいと思う願望が常識的な行動をとらせている。また、状況を鵜呑みにせず、先が見えるまでアクションを起こさないという慎重さも本質のひとつである。感情を抑え、落ち着いた雰囲気で信頼される。しかし、問題が起こったりすると、小さなミスでもいつまでも気にかけたり、他の人はとっくに忘れてしまうような失敗を、いつまでも忘れられず悩んだりするところもある。できることだけを小さくまとめるため、思いきった積極的な行動はしない。,54,53,50,58,48,49,39,58,59,52,63,0
22,退職,２０〜２５才,女,80,48,42,49,29,78,71,55,61,61,42,52,50,46,46,58,46,44,71,50,50,50,41,69,39,50,45,37,36,46,55,68,65,31,49,54,100,60,100,100,80,80,100,20,80,20,20,60,60,60,20,100,14,Ｃ,コツコツと几帳面な人。生活ぶりもキチンとしていて、丹念な仕事ぶりである。スタ−ト・ダッシュはそれほどではないが、息切れがせずいつまでも走りつづける長距離ランナ−型でもある。徹底性もみられ、それがときにはしつこさに映じることもある。世間のきまりや常識を大切にして、ものごとの判断は杓子定規になりがちである。堅物との印象があり、その意見やアイデアは手堅いものの斬新さや柔軟さに欠けるきらいがある。大きな失敗をしないことがこの人の取り柄といえる。,63,40,40,54,55,46,48,55,63,57,55,0
23,退職,２０〜２５才,男,92,68,76,46,15,75,48,44,41,78,24,43,50,46,46,58,55,52,82,63,59,52,61,32,51,44,52,58,50,65,71,68,79,49,56,54,100,100,100,100,80,100,100,60,80,100,60,100,80,100,20,40,24,Ｂ,あくまでも先が見えるまで動かず、容易な決断はしないような慎重さが身上といえる。自分の感情を抑え、人にもやさしいといえるが、問題が起こると自罰的になったり、過去の失敗をいつまでも悩んだりする傾向がみられる。また、何をやらせても着実で手堅い人である。慎重すぎるせいか、発想は着実であり非常にユニークなアイデアや意見をもっているが、大胆な行動などはあまりとらないため、できることだけを小さくまとめて控えめに表現することがある。遠慮がちであり、もう少し視野を広げ、図太さなどがそなわると良い特性が引き出せる。また、どちらかといえば、たくさんの人が集まるところでは、自分から積極的に話しかける社交家ではないが、社会へ関心はあり、情報を収集するアンテナはしっかりと張りめぐらせている。物事を客観的にとらえようとする傾向がつよく、キチンと把握しようとする姿勢がみられる。あまり人情的にのめりこまないため冷たい印象を与えがちだが、豊かな内面性の持ち主で、自分自身を深く内省している。,67,55,50,65,60,59,43,66,73,47,68,0
24,在職,２０〜２５才,男,74,41,50,58,54,36,40,48,53,42,51,36,50,38,46,78,62,61,36,50,62,47,36,50,54,47,75,37,68,57,28,54,50,52,56,72,100,100,80,100,100,100,100,40,100,20,60,80,40,60,20,40,-8,Ｄ,身が軽く思いたったことを素早く実行に移すことができる。行動はテキパキしていて、体を動かして物事を解決していく人である。また、環境への適応力があり、状況の変化にたやすくついていけ、実際的な職務遂行に適材である。多少、思索性に欠けるのがやや難。行動的であるが情緒的にもわりあい安定しており、そうリズムが揺れる生活ぶりではない。ときには手がけた仕事を途中で放りだすといった気分屋的な所があるが、現実的発想もできる。感覚的な部分もあるものの、キチンと理詰めな考え方もできる。,38,45,46,37,42,50,50,58,46,47,47,0
